# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.014483 ,-0.014483 ,-0.000028 ,8.000000  ,0.023265  ,0.003180  ,0.000000  ,-0.012579 ,135.000276
0.020000  ,0.015603  ,0.013995  ,0.167008  ,8.000000  ,0.052014  ,0.013791  ,0.000000  ,-0.034654 ,43.426858 
0.040000  ,-0.004438 ,-0.010668 ,0.273795  ,8.000000  ,0.027171  ,0.001527  ,0.000000  ,-0.015725 ,129.111564
0.060000  ,0.005705  ,-0.007101 ,0.354188  ,8.000000  ,0.030829  ,0.001149  ,0.000000  ,-0.021591 ,19.128687 
0.080000  ,0.017844  ,-0.003374 ,0.433868  ,8.000000  ,0.034665  ,0.001078  ,0.000000  ,-0.031415 ,16.282807 
0.100000  ,0.025237  ,-0.006216 ,0.513988  ,8.000000  ,0.031891  ,-0.007229 ,0.000000  ,-0.039742 ,22.623219 
0.120000  ,0.047913  ,0.004401  ,0.594687  ,8.000000  ,0.042713  ,-0.004787 ,0.000000  ,-0.067229 ,22.403890 
0.140000  ,0.050719  ,-0.006669 ,0.676039  ,8.000000  ,0.031668  ,-0.001583 ,0.000000  ,-0.078990 ,79.801157 
0.160000  ,0.058211  ,-0.014885 ,0.758009  ,8.000000  ,0.023520  ,-0.003508 ,0.000000  ,-0.095838 ,53.228344 
0.180000  ,0.078892  ,-0.011738 ,0.840623  ,8.000000  ,0.026854  ,-0.004511 ,0.000000  ,-0.122656 ,1.292591  
0.200000  ,0.102304  ,-0.007651 ,0.923625  ,8.000000  ,0.033958  ,-0.015256 ,0.090000  ,-0.151394 ,0.572075  
0.220000  ,0.124940  ,-0.006091 ,1.007108  ,8.000000  ,0.034951  ,-0.003969 ,0.090000  ,-0.179391 ,7.553790  
0.240000  ,0.146534  ,-0.007308 ,1.090310  ,8.000000  ,0.033194  ,0.002207  ,0.090000  ,-0.205873 ,17.048959 
0.260000  ,0.173488  ,-0.004866 ,1.174103  ,8.000000  ,0.034961  ,-0.001518 ,0.090000  ,-0.233773 ,11.116997 
0.280000  ,0.180716  ,-0.023801 ,1.256130  ,8.000000  ,0.015851  ,0.007491  ,0.090000  ,-0.250531 ,87.988016 
0.300000  ,0.224163  ,-0.008109 ,1.338287  ,8.000000  ,0.030451  ,-0.002888 ,0.090000  ,-0.281388 ,1.711531  
0.320000  ,0.238066  ,-0.023469 ,1.417434  ,8.000000  ,0.014749  ,0.005846  ,0.090000  ,-0.353920 ,72.192536 
0.340000  ,0.269764  ,-0.022423 ,1.494705  ,8.000000  ,0.015001  ,0.007372  ,0.090000  ,-0.379626 ,25.323100 
0.360000  ,0.312192  ,-0.011685 ,1.560467  ,8.000000  ,0.023098  ,0.001136  ,0.170000  ,-0.406212 ,16.084605 
0.380000  ,0.342492  ,-0.013989 ,1.629885  ,8.000000  ,0.020697  ,0.008199  ,0.170000  ,-0.427715 ,37.930444 
0.400000  ,0.374197  ,-0.015866 ,1.709404  ,8.000000  ,0.018717  ,-0.012125 ,0.170000  ,-0.446752 ,40.404383 
