# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.000000 ,0.000000  ,0.000000  ,8.000000  ,0.179540  ,-0.000000 ,0.000000  ,0.224570  ,180.000000
0.020000  ,0.001898  ,0.000000  ,0.188870  ,8.000000  ,0.179655  ,-0.000000 ,0.000000  ,0.224570  ,0.000000  
0.040000  ,0.007437  ,0.000033  ,0.362658  ,8.000000  ,0.179957  ,-0.000000 ,0.000000  ,0.224309  ,0.321506  
0.060000  ,0.016010  ,0.000158  ,0.456909  ,8.000000  ,0.180351  ,0.000000  ,0.000000  ,0.223246  ,0.759409  
0.080000  ,0.025332  ,0.000324  ,0.475453  ,8.000000  ,0.180748  ,0.000000  ,0.000000  ,0.221845  ,0.858372  
0.100000  ,0.035024  ,0.000526  ,0.493955  ,8.000000  ,0.181133  ,0.000000  ,0.000000  ,0.220157  ,0.931119  
0.120000  ,0.045086  ,0.000768  ,0.512473  ,8.000000  ,0.181499  ,-0.000000 ,0.000000  ,0.218161  ,0.994062  
0.140000  ,0.055517  ,0.001051  ,0.530998  ,8.000000  ,0.181846  ,0.000000  ,0.000000  ,0.215867  ,1.027869  
0.160000  ,0.066317  ,0.001377  ,0.549527  ,8.000000  ,0.182174  ,0.000000  ,0.000000  ,0.213285  ,1.034080  
0.180000  ,0.077487  ,0.001745  ,0.568057  ,8.000000  ,0.182482  ,0.000000  ,0.000000  ,0.210425  ,1.014062  
0.200000  ,0.089026  ,0.002158  ,0.586587  ,8.000000  ,0.182767  ,0.000000  ,0.000000  ,0.207299  ,0.969018  
0.220000  ,0.100934  ,0.002617  ,0.605115  ,8.000000  ,0.187652  ,0.000000  ,0.100000  ,0.203919  ,0.900007  
0.240000  ,0.113211  ,0.003122  ,0.623642  ,8.000000  ,0.187295  ,-0.000000 ,0.100000  ,0.200297  ,0.807964  
0.260000  ,0.125857  ,0.003676  ,0.642165  ,8.000000  ,0.186894  ,0.000000  ,0.100000  ,0.196446  ,0.693716  
0.280000  ,0.138872  ,0.004280  ,0.660685  ,8.000000  ,0.186447  ,0.000000  ,0.100000  ,0.192380  ,0.557994  
0.300000  ,0.152254  ,0.004937  ,0.679200  ,8.000000  ,0.185952  ,-0.000000 ,0.100000  ,0.188114  ,0.401451  
0.320000  ,0.166005  ,0.005648  ,0.697711  ,8.000000  ,0.185408  ,0.000000  ,0.100000  ,0.188958  ,0.224667  
0.340000  ,0.180124  ,0.006412  ,0.716271  ,8.000000  ,0.184815  ,0.000000  ,0.100000  ,0.183265  ,0.017805  
0.360000  ,0.194612  ,0.007228  ,0.734824  ,8.000000  ,0.184173  ,-0.000000 ,0.100000  ,0.177402  ,0.216242  
0.380000  ,0.209469  ,0.008100  ,0.753371  ,8.000000  ,0.183481  ,0.000000  ,0.100000  ,0.171386  ,0.464983  
0.400000  ,0.224693  ,0.009029  ,0.771910  ,8.000000  ,0.182736  ,0.000000  ,0.100000  ,0.165232  ,0.728189  
0.420000  ,0.240285  ,0.010018  ,0.790440  ,8.000000  ,0.181936  ,-0.000000 ,0.100000  ,0.158957  ,1.005653  
0.440000  ,0.256245  ,0.011069  ,0.808960  ,8.000000  ,0.181077  ,0.000000  ,0.100000  ,0.152576  ,1.297188  
0.460000  ,0.272571  ,0.012186  ,0.827498  ,8.000000  ,0.180158  ,-0.000000 ,0.100000  ,0.146114  ,1.604080  
0.480000  ,0.289265  ,0.013365  ,0.846052  ,8.000000  ,0.179181  ,-0.000000 ,0.100000  ,0.139631  ,1.938567  
0.500000  ,0.306326  ,0.014610  ,0.864595  ,8.000000  ,0.171266  ,0.000000  ,0.200000  ,0.133149  ,2.284436  
0.520000  ,0.323754  ,0.015924  ,0.883125  ,8.000000  ,0.171479  ,-0.000000 ,0.200000  ,0.126685  ,2.639960  
0.540000  ,0.341548  ,0.017309  ,0.901641  ,8.000000  ,0.171652  ,-0.000000 ,0.200000  ,0.120259  ,3.005128  
0.560000  ,0.359708  ,0.018766  ,0.920197  ,8.000000  ,0.171786  ,-0.000000 ,0.200000  ,0.113912  ,3.387620  
0.580000  ,0.378234  ,0.020295  ,0.938738  ,8.000000  ,0.171879  ,-0.000000 ,0.200000  ,0.094109  ,3.785332  
0.600000  ,0.397126  ,0.021901  ,0.957264  ,8.000000  ,0.171929  ,-0.000000 ,0.200000  ,0.086241  ,4.188905  
0.620000  ,0.416383  ,0.023585  ,0.975798  ,8.000000  ,0.171932  ,-0.000000 ,0.200000  ,0.078497  ,4.599623  
0.640000  ,0.436005  ,0.025346  ,0.994341  ,8.000000  ,0.171890  ,-0.000000 ,0.200000  ,0.070944  ,5.027728  
0.660000  ,0.455993  ,0.027189  ,1.012867  ,8.000000  ,0.171800  ,-0.000000 ,0.200000  ,0.063602  ,5.459665  
0.680000  ,0.476344  ,0.029115  ,1.031374  ,8.000000  ,0.171657  ,0.000000  ,0.200000  ,0.056488  ,5.894140  
0.700000  ,0.497060  ,0.031126  ,1.049911  ,8.000000  ,0.171462  ,0.000000  ,0.200000  ,0.049644  ,6.337846  
0.720000  ,0.518139  ,0.033223  ,1.068429  ,8.000000  ,0.171875  ,-0.000000 ,0.300000  ,0.043113  ,6.788940  
0.740000  ,0.539582  ,0.035410  ,1.086926  ,8.000000  ,0.171400  ,-0.000000 ,0.300000  ,0.036907  ,7.239361  
0.760000  ,0.561386  ,0.037689  ,1.105401  ,8.000000  ,0.170861  ,-0.000000 ,0.300000  ,0.000138  ,7.689308  
0.780000  ,0.583552  ,0.040066  ,1.123853  ,8.000000  ,0.170254  ,-0.000000 ,0.300000  ,-0.007338 ,8.138969  
0.800000  ,0.606077  ,0.042543  ,1.142309  ,8.000000  ,0.169576  ,-0.000000 ,0.300000  ,-0.014454 ,8.589494  
0.820000  ,0.628964  ,0.045116  ,1.160811  ,8.000000  ,0.168831  ,0.000000  ,0.300000  ,-0.021120 ,9.055122  
0.840000  ,0.652212  ,0.047787  ,1.179292  ,8.000000  ,0.168017  ,0.000000  ,0.300000  ,-0.027295 ,9.522473  
0.860000  ,0.675821  ,0.050558  ,1.197748  ,8.000000  ,0.167132  ,-0.000000 ,0.300000  ,-0.032973 ,9.983103  
0.880000  ,0.699788  ,0.053433  ,1.216181  ,8.000000  ,0.166171  ,-0.000000 ,0.300000  ,-0.038150 ,10.437278 
0.900000  ,0.724114  ,0.056416  ,1.234611  ,8.000000  ,0.165782  ,0.000000  ,0.400000  ,-0.042816 ,10.886136 
0.920000  ,0.748798  ,0.059506  ,1.253039  ,8.000000  ,0.164453  ,-0.000000 ,0.400000  ,-0.046924 ,11.337445 
0.940000  ,0.773839  ,0.062705  ,1.271443  ,8.000000  ,0.163039  ,0.000000  ,0.400000  ,-0.098652 ,11.780632 
0.960000  ,0.799236  ,0.066019  ,1.289820  ,8.000000  ,0.161538  ,-0.000000 ,0.400000  ,-0.103460 ,12.214814 
0.980000  ,0.824990  ,0.069446  ,1.308235  ,8.000000  ,0.159948  ,0.000000  ,0.400000  ,-0.107654 ,12.646020 
1.000000  ,0.851100  ,0.072983  ,1.326644  ,8.000000  ,0.158274  ,-0.000000 ,0.400000  ,-0.111164 ,13.079676 
1.020000  ,0.877567  ,0.076632  ,1.345029  ,8.000000  ,0.156513  ,-0.000000 ,0.400000  ,-0.113995 ,13.499214 
1.040000  ,0.904388  ,0.080398  ,1.363391  ,8.000000  ,0.154130  ,-0.000000 ,0.510000  ,-0.116157 ,13.903865 
1.060000  ,0.931563  ,0.084284  ,1.381729  ,8.000000  ,0.152338  ,-0.000000 ,0.510000  ,-0.117660 ,14.293938 
1.080000  ,0.959090  ,0.088292  ,1.400043  ,8.000000  ,0.150450  ,-0.000000 ,0.510000  ,-0.178169 ,14.669721 
1.100000  ,0.986969  ,0.092427  ,1.418334  ,8.000000  ,0.148464  ,-0.000000 ,0.510000  ,-0.179932 ,15.031488 
1.120000  ,1.015199  ,0.096688  ,1.436657  ,8.000000  ,0.146379  ,-0.000000 ,0.510000  ,-0.181007 ,15.384614 
1.140000  ,1.043781  ,0.101070  ,1.454974  ,8.000000  ,0.144200  ,-0.000000 ,0.510000  ,-0.181339 ,15.733774 
