# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.000000 ,0.000000  ,0.000000  ,8.000000  ,0.174846  ,0.000000  ,0.000000  ,0.115156  ,180.000000
0.000000  ,-0.000000 ,0.000000  ,0.000000  ,8.000000  ,0.174846  ,-0.000000 ,0.000000  ,0.115156  ,0.000000  
0.020000  ,0.001899  ,-0.000000 ,0.189221  ,8.000000  ,0.174800  ,0.000000  ,0.000000  ,0.115155  ,0.008320  
0.040000  ,0.007485  ,0.000025  ,0.368550  ,8.000000  ,0.174638  ,0.000000  ,0.000000  ,0.114995  ,0.244654  
0.060000  ,0.016344  ,0.000054  ,0.488860  ,8.000000  ,0.174391  ,-0.000000 ,0.000000  ,0.114828  ,0.160859  
0.080000  ,0.026607  ,-0.000024 ,0.537126  ,8.000000  ,0.174219  ,-0.000000 ,0.000000  ,0.115603  ,0.396055  
0.100000  ,0.037822  ,-0.000143 ,0.584420  ,8.000000  ,0.174063  ,0.000000  ,0.000000  ,0.127202  ,0.311702  
0.120000  ,0.049983  ,-0.000216 ,0.631668  ,8.000000  ,0.173837  ,-0.000000 ,0.000000  ,0.132969  ,-0.451451 
0.140000  ,0.063088  ,-0.000241 ,0.678901  ,8.000000  ,0.173542  ,-0.000000 ,0.000000  ,0.141245  ,-1.407526 
0.160000  ,0.077140  ,-0.000232 ,0.726261  ,8.000000  ,0.173189  ,-0.000000 ,0.000000  ,0.151585  ,-2.486044 
0.180000  ,0.092138  ,-0.000208 ,0.773568  ,8.000000  ,0.169706  ,0.000000  ,0.120000  ,0.163551  ,-3.649836 
0.200000  ,0.108082  ,-0.000203 ,0.820780  ,8.000000  ,0.169856  ,-0.000000 ,0.120000  ,0.176817  ,-4.843566 
0.220000  ,0.124969  ,-0.000253 ,0.867935  ,8.000000  ,0.170069  ,0.000000  ,0.120000  ,0.191054  ,-6.065022 
0.240000  ,0.142798  ,-0.000381 ,0.914992  ,8.000000  ,0.170370  ,-0.000000 ,0.120000  ,0.205819  ,-7.346840 
